main_id,name,U,B,V,R,I,G,J,ra,dec,sp_type,sp_qual,otype
"* alf CMa","Dog Star;Sirius;Sirius A",-1.51,-1.46,-1.46,-1.46,-1.43,,-1.36,101.28715533333335,-16.71611586111111,"A0mA1Va",C,"SB*"
"* alf Car","Canopus",-0.49,-0.59,-0.74,-0.96,-1.13,,-1.15,95.98795782918306,-52.69566138386201,"A9II",C,"*"
"* alf Ori","Betelgeuse",4.38,2.27,0.42,-1.17,-2.45,,-3.0,88.79293899077537,7.407063995272694,"M1-M2Ia-Iab",B,"s*r"
"* alf Boo","Arcturus",2.46,1.18,-0.05,-1.03,-1.68,,-2.252,213.915300294925,19.1824091615312,"K1.5IIIFe-0.5",B,"RG*"
"* alf Cen A","Rigel Kentaurus;Rigil Kentaurus",0.96,0.72,0.01,,,,-1.454,219.90205833170774,-60.83399268831004,"G2V",C,"SB*"
"* alf Sco","Antares",4.08,2.75,0.91,-0.64,-1.87,,-2.73,247.3519154198264,-26.432002611950832,"M1.5Iab+B2Vn",C,"s*r"
"* alf Aur","Capella",1.33,0.88,0.08,-0.52,-0.96,,-1.29,79.17232794433404,45.99799146983673,"G3III:",C,"SB*"
"* alf Her","Rasalgethi",,4.51,3.06,,,,-2.3,258.66190909203993,14.39034061013818,"M5Ib-II+G5III+F2V:",C,"**"
"* alf Tau","Aldebaran",4.32,2.4,0.86,-0.37,-1.31,,-2.095,68.9801627900154,16.5093023507718,"K5+III",B,"LP?"
"* alf Tau","Aldebaran",4.32,2.4,0.86,-0.37,-1.31,,-2.095,68.9801627900154,16.5093023507718,"K5+III",B,"LP?"
"CMa Dwarf Galaxy","CMa Dwarf Galaxy;CMa Galaxy;Canis Major Dwarf Galaxy;Canis Major Galaxy",,,-0.1,,,,,108.15,-27.666666666666668,,,"G"
"* alf CMi","Procyon;Procyon A",0.82,0.79,0.37,-0.05,-0.28,,-0.39,114.82549790798149,5.224987557059477,"F5IV-V+DQZ",C,"SB*"
"* alf Lyr","Vega",0.03,0.03,0.03,0.07,0.1,,-0.177,279.234734787025,38.783688956244,"A0Va",C,"dS*"
"* gam Cru","Gacrux",5.01,3.23,1.64,-0.02,-1.44,,-1.994,187.79149837560794,-57.11321345705891,"M3.5III",B,"PM*"
"* bet Ori","Rigel",-0.56,0.1,0.13,0.13,0.15,,0.22,78.63446706693006,-8.201638364722209,"B8Iae",C,"s*b"
"* alf Cen",,,0.4,-0.1,,,,,219.87383306,-60.83222194,"G2V+K1V",C,"**"
"* bet Gru","Tiaki",5.33,3.73,2.11,0.2,-1.57,,-1.973,340.66687612556166,-46.884576444824646,"M4.5III",B,"LP?"
"* bet Gru","Tiaki",5.33,3.73,2.11,0.2,-1.57,,-1.973,340.66687612556166,-46.884576444824646,"M4.5III",B,"LP?"
"LMC","LMC;Large Magellanic Cloud;Nubecula Major",,,0.4,,,,,80.89416666666666,-69.75611111111111,,,"G"
"[CDT2019] J182132.05-144655.9",,,,,,,,1.412,275.38354166666676,-14.782194444444443,,,"*"
"* bet Gem","Pollux",3.0,2.14,1.14,0.39,-0.11,,-0.52,116.32895777437875,28.02619889009357,"K0IIIb",B,"PM*"
"* alf Eri","Achernar",-0.36,0.3,0.46,0.49,0.6,,0.8,24.428522833333336,-57.236752805555554,"B6Vpe",C,"Be*"
"* alf TrA","Atria",,3.33,1.88,,,,-0.35,252.1662295073803,-69.02771184691984,"K2III_Ba1",C,"*"
"* alf Aql","Altair",1.07,0.98,0.76,0.62,0.49,,0.35,297.69582729638694,8.868321196436963,"A7Vn",C,"dS*"
"[CHM2007] LDC   31 J004244.33+4116074",,,,,,,,,10.68458333333333,41.268611111111106,,,"GiG"
"* gam Leo","Algieba",,3.79,2.37,,,,-0.18,154.99312733272745,19.84148521911754,"K1-III+G7IIIb",C,"**"
"* alf Cen B","Toliman",2.89,2.21,1.33,,,,-0.01,219.89609628987276,-60.83752756558407,"K1V",C,"PM*"
